Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.25049087816945,0.7051611067828425
original,FreqSel,fr,-13.137163729128016,1.6593266636053023
original,FreqSel,de,-11.732865646258503,1.2694455902145727
original,FreqSel,es,-12.526043599257886,1.6348342713945152
original,FreqSel,zh,-10.916522930194805,1.9618176433700298
original,FreqSel,ja,-10.88862114448052,1.3600016919718683
original,FreqSel,ko,-10.27981740486722,1.6951569924250027
distractor ablation,FreqSel,en,-11.013215058750774,0.797717057405761
distractor ablation,FreqSel,fr,-13.6413110698825,1.353054259972491
distractor ablation,FreqSel,de,-12.027048546691404,1.1919425776179393
distractor ablation,FreqSel,es,-13.189413265306124,1.5954705270836638
distractor ablation,FreqSel,zh,-11.522682883522728,2.0585151238621977
distractor ablation,FreqSel,ja,-11.445084212662337,1.0335200221134035
distractor ablation,FreqSel,ko,-10.49705527596781,1.860676184099339
amplification,FreqSel,en,-10.6728780148423,0.7839990541008329
amplification,FreqSel,fr,-11.51296768707483,1.8323604814272159
amplification,FreqSel,de,-11.021366728509586,1.2525057631439391
amplification,FreqSel,es,-11.884322820037104,1.3679174798407745
amplification,FreqSel,zh,-9.811730587121213,1.4247858870410104
amplification,FreqSel,ja,-10.171022727272728,0.9516973465731046
amplification,FreqSel,ko,-9.164987370680693,1.8262873793325132
feature-intervention,FreqSel,en,-10.61590909090909,0.7394698256771062
feature-intervention,FreqSel,fr,-13.113497217068645,1.4849035364191296
feature-intervention,FreqSel,de,-12.153099876314162,1.151661412878075
feature-intervention,FreqSel,es,-12.527392547928262,1.3204613824871276
feature-intervention,FreqSel,zh,-11.00390202245671,2.012309710183886
feature-intervention,FreqSel,ja,-10.975344967532468,1.3790208155711905
feature-intervention,FreqSel,ko,-10.534254325204202,1.662847384104746
