Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.701468769325912,1.2535966602593676
original,FreqSel,fr,-13.973399814471241,2.274647588509
original,FreqSel,de,-14.016975881261596,1.659535743931153
original,FreqSel,es,-12.63835420531849,1.5148884197675334
original,FreqSel,zh,-12.383624188311687,2.814016482564059
original,FreqSel,ja,-12.653997564935066,1.588790085391122
original,FreqSel,ko,-10.083860338569021,1.6203563100895213
distractor ablation,FreqSel,en,-11.877149041434757,1.1750693545169593
distractor ablation,FreqSel,fr,-14.630333951762523,1.7417994813248767
distractor ablation,FreqSel,de,-14.811247680890537,1.5996490770793304
distractor ablation,FreqSel,es,-12.975235776128633,1.4490606998327664
distractor ablation,FreqSel,zh,-13.104758522727272,3.0153231660272155
distractor ablation,FreqSel,ja,-13.477380952380953,1.7764460392425685
distractor ablation,FreqSel,ko,-9.5347179893686,2.1870059379701376
amplification,FreqSel,en,-11.354386982065552,1.0960753821254567
amplification,FreqSel,fr,-12.06018475572047,1.9351471580487636
amplification,FreqSel,de,-12.16763296227582,1.7317778146737262
amplification,FreqSel,es,-11.958619356833642,1.3871572142009452
amplification,FreqSel,zh,-9.997277462121213,1.8398661147095263
amplification,FreqSel,ja,-10.576609848484848,1.0992309830600113
amplification,FreqSel,ko,-8.507561501468263,1.5925478752650328
feature-intervention,FreqSel,en,-13.675850340136053,1.6027279475062952
feature-intervention,FreqSel,fr,-15.897711811997526,1.4539175998943608
feature-intervention,FreqSel,de,-16.00330859616574,1.681622663149947
feature-intervention,FreqSel,es,-14.660381880024739,1.3624717261097223
feature-intervention,FreqSel,zh,-14.501657196969697,2.5014427298037187
feature-intervention,FreqSel,ja,-15.09339826839827,1.4677910910176342
feature-intervention,FreqSel,ko,-8.561097948090369,1.6097840201129239
