Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.065673314780456,0.3988046992075284
original,FreqSel,fr,-11.828397495361783,1.0223371290943677
original,FreqSel,de,-11.995462275819419,0.8865174518707554
original,FreqSel,es,-11.628076685219542,1.3986879248688684
original,FreqSel,zh,-9.917385349025974,1.027946765451832
original,FreqSel,ja,-10.004866747835496,1.286910287956912
original,FreqSel,ko,-8.40570147004114,1.1520347784303913
distractor ablation,FreqSel,en,-10.25574752628324,0.503869333794254
distractor ablation,FreqSel,fr,-12.443197278911565,0.9909873443251819
distractor ablation,FreqSel,de,-12.528795609152752,0.713746705947143
distractor ablation,FreqSel,es,-12.360861162646875,1.3227503531972824
distractor ablation,FreqSel,zh,-10.393801998782468,1.4620597001743911
distractor ablation,FreqSel,ja,-10.443667140151515,1.3157606769715116
distractor ablation,FreqSel,ko,-8.40151014995842,1.3109192600395327
amplification,FreqSel,en,-9.881941867656154,0.49037707631422706
amplification,FreqSel,fr,-10.753872912801484,0.9606141605916666
amplification,FreqSel,de,-11.181926406926408,1.2586257181009448
amplification,FreqSel,es,-11.187128942486085,1.3704868437507802
amplification,FreqSel,zh,-8.77834145021645,0.6394527803490773
amplification,FreqSel,ja,-9.324959415584415,0.9726743817128929
amplification,FreqSel,ko,-7.271710658140209,1.0206496921064705
feature-intervention,FreqSel,en,-11.107038497217067,0.8921240051658207
feature-intervention,FreqSel,fr,-13.68985003092146,1.2506874725317347
feature-intervention,FreqSel,de,-13.307977736549166,1.2075964012510576
feature-intervention,FreqSel,es,-12.911603277674706,0.9891168735913168
feature-intervention,FreqSel,zh,-8.74204376352814,0.6671505406443966
feature-intervention,FreqSel,ja,-9.394715570887445,1.7076526719655059
feature-intervention,FreqSel,ko,-11.527698198419994,2.5037497019029606
