Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.281837507730364,1.3333134185929056
original,FreqSel,fr,-13.605824829931972,1.6003880669362258
original,FreqSel,de,-13.457386363636363,1.4306466208299746
original,FreqSel,es,-13.18021413110699,1.0722409379919469
original,FreqSel,zh,-11.958261465097403,2.4660216407532745
original,FreqSel,ja,-12.350915685876624,1.5270342178170146
original,FreqSel,ko,-9.814664951826677,1.6071525673152032
distractor ablation,FreqSel,en,-11.465657854050713,1.254535813308972
distractor ablation,FreqSel,fr,-14.154298082869513,1.3727714791000147
distractor ablation,FreqSel,de,-14.01909400123686,1.652149341183103
distractor ablation,FreqSel,es,-13.840004638218925,1.147265610214771
distractor ablation,FreqSel,zh,-12.436016132305195,2.431749394121247
distractor ablation,FreqSel,ja,-12.630491578733766,1.739115986773164
distractor ablation,FreqSel,ko,-9.304980148187203,2.1299389476886237
amplification,FreqSel,en,-10.943197278911565,1.2472725159774334
amplification,FreqSel,fr,-12.049536178107607,1.8006298780245793
amplification,FreqSel,de,-11.928242888064316,1.643432483454944
amplification,FreqSel,es,-12.365000773036487,1.1498142665348308
amplification,FreqSel,zh,-9.72471929112554,1.4404477061886332
amplification,FreqSel,ja,-10.469852543290044,1.0750405542058
amplification,FreqSel,ko,-8.340828236812303,1.4900039472527187
feature-intervention,FreqSel,en,-13.014610389610388,1.3831523437453062
feature-intervention,FreqSel,fr,-15.767547928262214,1.491407703371801
feature-intervention,FreqSel,de,-15.631083797155226,1.2402673144427196
feature-intervention,FreqSel,es,-15.467741187384044,1.007094338921672
feature-intervention,FreqSel,zh,-14.008987757034632,2.073187686610699
feature-intervention,FreqSel,ja,-14.677416463744589,1.443545483452536
feature-intervention,FreqSel,ko,-8.403178433543827,1.470095252998267
