Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.92112322201608,0.9045635224627491
original,FreqSel,fr,-12.031690630797772,1.572246461945698
original,FreqSel,de,-12.266941094619666,1.435492408221944
original,FreqSel,es,-10.077357761286333,1.1601662278678253
original,FreqSel,zh,-9.22356939935065,1.1304101148357575
original,FreqSel,ja,-9.772061011904762,1.1723369721580261
original,FreqSel,ko,-9.466406685965401,1.1412262512597906
distractor ablation,FreqSel,en,-10.105801638837352,0.9064195357154397
distractor ablation,FreqSel,fr,-12.648639455782313,1.208545983432949
distractor ablation,FreqSel,de,-12.864235466914039,1.2566701402258975
distractor ablation,FreqSel,es,-10.534616573902287,1.1507034644606549
distractor ablation,FreqSel,zh,-9.600894548160174,1.4060152584620074
distractor ablation,FreqSel,ja,-9.806852002164502,0.9403303437211168
distractor ablation,FreqSel,ko,-9.796627482780222,1.654559523925781
amplification,FreqSel,en,-9.904383116883116,0.8609594166372115
amplification,FreqSel,fr,-10.739169758812617,1.154362390706346
amplification,FreqSel,de,-11.21905921459493,1.6186071480538342
amplification,FreqSel,es,-9.9661951144094,0.9633124955841508
amplification,FreqSel,zh,-9.223332656926406,0.8887931573763729
amplification,FreqSel,ja,-9.823753720238097,0.9978667722079069
amplification,FreqSel,ko,-7.965769843093488,1.3089227236484033
feature-intervention,FreqSel,en,-11.780790043290043,1.3440089240275415
feature-intervention,FreqSel,fr,-13.594341372912803,1.3868913663111309
feature-intervention,FreqSel,de,-13.409461966604823,1.9233722386847747
feature-intervention,FreqSel,es,-12.013102968460112,1.314485227091052
feature-intervention,FreqSel,zh,-9.8497362012987,1.186323041580022
feature-intervention,FreqSel,ja,-9.812183779761906,0.998739179172194
feature-intervention,FreqSel,ko,-12.618327181946997,2.1450811911697314
