Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.664896413110698,1.0857216475769413
original,FreqSel,fr,-11.533124613481757,1.4928403014616576
original,FreqSel,de,-14.230558132343846,1.6826569989051208
original,FreqSel,es,-10.830047928262214,0.9433753120117963
original,FreqSel,zh,-11.078573119588745,2.012297985519468
original,FreqSel,ja,-11.391529694264069,1.6224955973779809
original,FreqSel,ko,-10.604308577679118,1.7497552241275345
distractor ablation,FreqSel,en,-12.152048546691404,0.9053276626508308
distractor ablation,FreqSel,fr,-11.847762059369202,1.6265738028244627
distractor ablation,FreqSel,de,-14.720497062461348,1.5860761736650315
distractor ablation,FreqSel,es,-11.448546691403834,0.9404535293665157
distractor ablation,FreqSel,zh,-11.616538572104977,1.9314137073791449
distractor ablation,FreqSel,ja,-12.198435808982683,1.2394359764626808
distractor ablation,FreqSel,ko,-11.209431333568585,2.2542867347795554
amplification,FreqSel,en,-11.742470624613484,0.7444164681171945
amplification,FreqSel,fr,-10.162121212121212,1.2894161436577023
amplification,FreqSel,de,-11.898782467532468,1.6418343364784371
amplification,FreqSel,es,-10.084218460111316,0.8746629328207828
amplification,FreqSel,zh,-10.898716517857142,1.474264197954911
amplification,FreqSel,ja,-11.024352340367965,1.1298158953519737
amplification,FreqSel,ko,-9.021909048043046,1.823333728468272
feature-intervention,FreqSel,en,-12.19569032158318,1.4465746933092845
feature-intervention,FreqSel,fr,-10.212739641311071,1.3747822575853819
feature-intervention,FreqSel,de,-14.574296536796536,1.8851264962289116
feature-intervention,FreqSel,es,-12.169758812615955,0.9004510144219964
feature-intervention,FreqSel,zh,-11.966467655066287,1.975629290700042
feature-intervention,FreqSel,ja,-11.991929197104978,0.716030374093736
feature-intervention,FreqSel,ko,-12.761846906731444,2.8949633199933387
