Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.939397804576375,0.45741838575958144
original,FreqSel,fr,-11.697870284477428,0.6526614705401989
original,FreqSel,de,-11.860895949288807,0.8867071126396353
original,FreqSel,es,-11.700355596784167,1.0790277819812284
original,FreqSel,zh,-9.980697037337663,1.4212032698103945
original,FreqSel,ja,-9.952355587121213,1.2673099103202627
original,FreqSel,ko,-8.389853255755428,1.1885967944748805
distractor ablation,FreqSel,en,-10.137700989486703,0.5427134624053224
distractor ablation,FreqSel,fr,-12.365244279529993,0.6083106895165897
distractor ablation,FreqSel,de,-12.273542826221398,0.7184121755400155
distractor ablation,FreqSel,es,-12.081918676561534,1.084709602647703
distractor ablation,FreqSel,zh,-10.419359611742424,1.6648561910424753
distractor ablation,FreqSel,ja,-10.20570295589827,0.9135251439702291
distractor ablation,FreqSel,ko,-8.55151389413187,1.2430505610106342
amplification,FreqSel,en,-9.975316944959802,0.543487674403732
amplification,FreqSel,fr,-10.819546227581942,0.8976008624209906
amplification,FreqSel,de,-11.387287414965986,1.0886928182264677
amplification,FreqSel,es,-11.001132498453927,1.1190130063456278
amplification,FreqSel,zh,-9.650018601190476,1.1145645824317472
amplification,FreqSel,ja,-9.565381493506493,1.10147774516605
amplification,FreqSel,ko,-7.331783895198705,0.9656279278967378
feature-intervention,FreqSel,en,-10.947128169449599,0.538953491680271
feature-intervention,FreqSel,fr,-12.8531462585034,1.1316597471584524
feature-intervention,FreqSel,de,-12.517698670377243,1.3099485093379635
feature-intervention,FreqSel,es,-12.949025974025973,1.584053800625073
feature-intervention,FreqSel,zh,-9.94341856060606,1.7341946654562188
feature-intervention,FreqSel,ja,-9.604748376623377,1.0548629404052137
feature-intervention,FreqSel,ko,-11.09799706381576,2.1352429589743935
