Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.675050247371676,1.168384280657518
original,FreqSel,fr,-13.821351267779841,1.4742557578721665
original,FreqSel,de,-13.345265151515152,1.621797267224133
original,FreqSel,es,-13.512063234384664,1.5759056660224786
original,FreqSel,zh,-12.27632068452381,2.4270084867871113
original,FreqSel,ja,-12.695679450757577,1.3960053575188436
original,FreqSel,ko,-9.89600218230603,1.5409821034986455
distractor ablation,FreqSel,en,-11.894209956709958,1.0816970730946016
distractor ablation,FreqSel,fr,-14.179970624613484,1.3545911811115396
distractor ablation,FreqSel,de,-13.670272881880024,1.5351412823847042
distractor ablation,FreqSel,es,-13.945284477427334,1.605392376165703
distractor ablation,FreqSel,zh,-12.932777834145023,2.6205948843254165
distractor ablation,FreqSel,ja,-13.072478693181818,1.550531751509281
distractor ablation,FreqSel,ko,-9.508637957746574,2.197163559425125
amplification,FreqSel,en,-11.560335497835498,1.0735600056265806
amplification,FreqSel,fr,-12.744260204081632,1.685261216780478
amplification,FreqSel,de,-12.847568800247371,1.3537284789122985
amplification,FreqSel,es,-12.585026283240568,1.4290315549141237
amplification,FreqSel,zh,-11.138054653679655,1.7540133918534668
amplification,FreqSel,ja,-10.836640963203463,1.039959801077932
amplification,FreqSel,ko,-8.711992119540687,1.6515242454353474
feature-intervention,FreqSel,en,-12.209005875077304,1.085239934040921
feature-intervention,FreqSel,fr,-15.173252937538651,1.6232618095264224
feature-intervention,FreqSel,de,-14.450788497217067,1.366616840063361
feature-intervention,FreqSel,es,-14.622796846011132,1.0695563679649323
feature-intervention,FreqSel,zh,-14.233909970238097,2.233256711398342
feature-intervention,FreqSel,ja,-14.821207048160174,1.0976209400100216
feature-intervention,FreqSel,ko,-8.720189837714871,1.6330975529843283
