Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.894519171304884,1.2926621170991697
original,FreqSel,fr,-13.638292362399506,1.7711764156311707
original,FreqSel,de,-12.120272881880025,0.6611676988764635
original,FreqSel,es,-11.157854050711194,0.9868498034199533
original,FreqSel,zh,-11.393584280303031,2.197796956629635
original,FreqSel,ja,-11.548609983766232,1.7375027211505292
original,FreqSel,ko,-10.61676117285293,1.7945417044683971
distractor ablation,FreqSel,en,-12.40180117501546,1.0072380741379217
distractor ablation,FreqSel,fr,-13.911541434755721,1.6430723407458592
distractor ablation,FreqSel,de,-12.219291125541124,0.9290118393970255
distractor ablation,FreqSel,es,-11.663988095238095,1.1519563135007704
distractor ablation,FreqSel,zh,-11.941628196022728,2.293667601370215
distractor ablation,FreqSel,ja,-11.822050865800865,1.5934830965690974
distractor ablation,FreqSel,ko,-10.994385158848697,2.0270647690429535
amplification,FreqSel,en,-12.105882807668522,0.984237738106279
amplification,FreqSel,fr,-12.078370439084726,1.6334137133054023
amplification,FreqSel,de,-11.16648113790971,0.86008564755099
amplification,FreqSel,es,-10.671273964131107,0.7925429988486716
amplification,FreqSel,zh,-11.258040787337663,1.5278215286031687
amplification,FreqSel,ja,-11.05363061417749,1.4460231424942913
amplification,FreqSel,ko,-9.119635800487186,1.354580516984199
feature-intervention,FreqSel,en,-12.504727118119975,1.2153892318166457
feature-intervention,FreqSel,fr,-15.03243661100804,1.4970526020734427
feature-intervention,FreqSel,de,-11.200459956709958,0.9078971200673636
feature-intervention,FreqSel,es,-12.997425788497216,0.8267935210960581
feature-intervention,FreqSel,zh,-12.926416966822242,2.276964668372833
feature-intervention,FreqSel,ja,-13.032247594527869,1.5295803414557396
feature-intervention,FreqSel,ko,-12.255161616648612,2.4356882298152653
