Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.326240723562153,0.92851374514487
original,FreqSel,fr,-10.73031462585034,1.5018245374452173
original,FreqSel,de,-13.558936301793446,1.8835105847642124
original,FreqSel,es,-12.106632653061224,1.1091504550664615
original,FreqSel,zh,-10.871575689935066,1.8762314982661643
original,FreqSel,ja,-11.011598687770562,1.400476644899464
original,FreqSel,ko,-10.270548618006773,1.793820070740496
distractor ablation,FreqSel,en,-11.108275355596785,0.9221815919433127
distractor ablation,FreqSel,fr,-11.294244743351886,1.2473603622086522
distractor ablation,FreqSel,de,-14.002408008658008,2.0228176960098807
distractor ablation,FreqSel,es,-12.47497680890538,1.0239947604932136
distractor ablation,FreqSel,zh,-11.402616426542208,1.880284109720825
distractor ablation,FreqSel,ja,-11.247810132575756,1.2446870016922407
distractor ablation,FreqSel,ko,-10.794807767467338,2.377243967301226
amplification,FreqSel,en,-10.91280921459493,0.9232833969286444
amplification,FreqSel,fr,-10.628107606679036,1.6469502693373295
amplification,FreqSel,de,-13.030708874458876,2.141392402026545
amplification,FreqSel,es,-11.201389533085962,0.9248830161850982
amplification,FreqSel,zh,-10.861945346320345,1.5436584191492042
amplification,FreqSel,ja,-10.621939258658008,1.1007798060074223
amplification,FreqSel,ko,-9.060331084948627,1.6246089529904764
feature-intervention,FreqSel,en,-10.749837662337663,0.9129081292474054
feature-intervention,FreqSel,fr,-11.905055658627088,1.328404394289778
feature-intervention,FreqSel,de,-13.928517316017317,1.685994287154047
feature-intervention,FreqSel,es,-12.330160018552876,0.94992499517666
feature-intervention,FreqSel,zh,-11.135179924242424,1.930090674194236
feature-intervention,FreqSel,ja,-11.260896915584416,1.4159126260435566
feature-intervention,FreqSel,ko,-10.669166984878668,1.8397595312309047
