Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.894519171304884,1.2926621170991697
original,ValSel,fr,-13.638292362399506,1.7711764156311707
original,ValSel,de,-12.120272881880025,0.6611676988764635
original,ValSel,es,-11.157854050711194,0.9868498034199533
original,ValSel,zh,-11.393584280303031,2.197796956629635
original,ValSel,ja,-11.548609983766232,1.7375027211505292
original,ValSel,ko,-10.61676117285293,1.7945417044683971
distractor ablation,ValSel,en,-12.288037260358688,0.9697020056729402
distractor ablation,ValSel,fr,-14.636425479282622,1.943551708419039
distractor ablation,ValSel,de,-11.936672850958564,0.7857256346810835
distractor ablation,ValSel,es,-11.876673623995051,1.2834164726034172
distractor ablation,ValSel,zh,-12.044141893262987,2.318595581258651
distractor ablation,ValSel,ja,-12.150314529220779,1.7554424739018242
distractor ablation,ValSel,ko,-11.596779485109474,1.9085393653270268
amplification,ValSel,en,-12.999424087816946,0.956109674001287
amplification,ValSel,fr,-12.400865800865802,1.5449767774496748
amplification,ValSel,de,-11.713199598021026,0.6461355705892814
amplification,ValSel,es,-11.214544681508967,0.8514781289878286
amplification,ValSel,zh,-11.31830864448052,2.1443970141239137
amplification,ValSel,ja,-11.240966585497835,1.7194784009989905
amplification,ValSel,ko,-9.770328682009914,1.6042037123064627
feature-intervention,ValSel,en,-12.032529375386519,1.2702163951011765
feature-intervention,ValSel,fr,-14.882088744588744,1.7667374810691985
feature-intervention,ValSel,de,-11.566326530612244,0.7927846792239991
feature-intervention,ValSel,es,-12.669553957946816,0.9256665163311781
feature-intervention,ValSel,zh,-12.23235846185065,2.2521522129725278
feature-intervention,ValSel,ja,-12.292321935876624,1.7377400238762963
feature-intervention,ValSel,ko,-11.466249576002275,1.8890943450223106
