Experiment,Method,Run,mean,stdev
original,ValSel,en,1.739375,3.6773481533963954
original,ValSel,fr,0.0,0.0
original,ValSel,de,-1.85375,3.9884739635706294
original,ValSel,es,-0.8275,3.7232115562950883
original,ValSel,zh,-1.82375,3.996609002983313
original,ValSel,ja,-3.111875,4.261036388949822
original,ValSel,ko,1.23375,4.050361819789946
distractor ablation,ValSel,en,1.778125,3.705772172683223
distractor ablation,ValSel,fr,0.0,0.0
distractor ablation,ValSel,de,-1.99,4.02477844612645
distractor ablation,ValSel,es,-0.89625,3.8303597244497634
distractor ablation,ValSel,zh,-3.5896875,4.349920574912747
distractor ablation,ValSel,ja,-4.795625,4.47055510268427
distractor ablation,ValSel,ko,-2.360625,3.8614320852979773
amplification,ValSel,en,1.6315625,4.198332079133999
amplification,ValSel,fr,0.06,0.35864151652274917
amplification,ValSel,de,2.54625,3.6083147438110275
amplification,ValSel,es,0.343125,3.7144091250639835
amplification,ValSel,zh,0.63875,3.9330189348538855
amplification,ValSel,ja,0.4815625,3.893019500663231
amplification,ValSel,ko,1.88875,4.0538766285738115
feature-intervention,ValSel,en,-0.59875,3.1967419000057737
feature-intervention,ValSel,fr,0.048125,0.31593503499672815
feature-intervention,ValSel,de,-3.4484375,3.7337885459378275
feature-intervention,ValSel,es,-2.0478125,3.6142065862299892
feature-intervention,ValSel,zh,-4.459375,3.520473298339043
feature-intervention,ValSel,ja,-5.5996875,4.215611428383782
feature-intervention,ValSel,ko,-4.90625,3.626616019101002
