Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.266268552875696,1.2614721131044095
original,ValSel,fr,-13.069523036487324,1.7922310662725518
original,ValSel,de,-11.274551638837353,0.9262990879937385
original,ValSel,es,-12.439803648732221,1.0759952389924476
original,ValSel,zh,-10.668518330627705,1.8876141413470633
original,ValSel,ja,-11.045466382575757,1.3875522838245062
original,ValSel,ko,-10.113335138742997,1.4904650396998198
distractor ablation,ValSel,en,-11.637542517006803,1.1340577331941095
distractor ablation,ValSel,fr,-14.366287878787878,1.8185128854729515
distractor ablation,ValSel,de,-11.088052721088435,0.9492788863376976
distractor ablation,ValSel,es,-13.875200989486704,1.2340419177869681
distractor ablation,ValSel,zh,-11.437838203463203,1.9670496075684485
distractor ablation,ValSel,ja,-11.571385450487014,1.3556903368466062
distractor ablation,ValSel,ko,-11.066739199341848,1.5962816259664068
amplification,ValSel,en,-12.412461348175635,1.0450838031035843
amplification,ValSel,fr,-12.446563852813853,1.8699408248023506
amplification,ValSel,de,-11.32314084724799,1.1164770019037622
amplification,ValSel,es,-12.530299165120594,1.0503987075537158
amplification,ValSel,zh,-10.529846455627705,1.7865391207590302
amplification,ValSel,ja,-10.661208062770564,1.3150435602648418
amplification,ValSel,ko,-9.258320801465118,1.3237238096987012
feature-intervention,ValSel,en,-11.530534941249227,1.2287304825321799
feature-intervention,ValSel,fr,-14.322881880024738,1.9056180915255587
feature-intervention,ValSel,de,-11.108375850340137,1.0949412504874176
feature-intervention,ValSel,es,-13.593448515769945,1.2515169281669685
feature-intervention,ValSel,zh,-12.615984763933982,2.0063319098154992
feature-intervention,ValSel,ja,-12.705513984713203,1.5154829378672334
feature-intervention,ValSel,ko,-11.269143770789567,1.7393647424019474
