Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.274775819418677,1.143049227532586
original,ValSel,fr,-13.579970624613482,1.2510157969899545
original,ValSel,de,-13.372792980828695,1.2956479475965357
original,ValSel,es,-13.256760204081631,1.0659062479254113
original,ValSel,zh,-11.924305837391774,2.3198451105006876
original,ValSel,ja,-12.23880800189394,1.5359934203278554
original,ValSel,ko,-9.748428921739594,1.7766484098221356
distractor ablation,ValSel,en,-11.070207173778602,1.2523259164810736
distractor ablation,ValSel,fr,-15.309639764996907,1.2634226113302662
distractor ablation,ValSel,de,-13.916129406307977,1.505831115438391
distractor ablation,ValSel,es,-15.011835188620903,1.0967517016708435
distractor ablation,ValSel,zh,-12.401726528679655,2.3859291452635496
distractor ablation,ValSel,ja,-12.38881561147186,1.2627029821914464
distractor ablation,ValSel,ko,-10.227306137298669,2.7311658110217403
amplification,ValSel,en,-19.11461038961039,2.964875418589958
amplification,ValSel,fr,-13.957204700061842,1.456371945339001
amplification,ValSel,de,-13.314749536178109,1.1864899859940585
amplification,ValSel,es,-13.175154607297463,0.8816111763809634
amplification,ValSel,zh,-10.433035714285714,1.5004604762140568
amplification,ValSel,ja,-10.516810403138527,0.7542783240547817
amplification,ValSel,ko,-8.386571444984243,1.8252037922895117
feature-intervention,ValSel,en,-11.767080241187385,1.0288423484913192
feature-intervention,ValSel,fr,-14.729290352504638,1.3422559054701024
feature-intervention,ValSel,de,-14.349868583797155,1.1088116179516754
feature-intervention,ValSel,es,-14.37291280148423,0.7539767879900294
feature-intervention,ValSel,zh,-13.642781047077921,1.8080338242858205
feature-intervention,ValSel,ja,-13.879567437770563,0.9767286728365221
feature-intervention,ValSel,ko,-8.421846474185378,1.8328008869267258
