Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.050796227581941,0.8457650367225423
original,ValSel,fr,-10.658159400123685,1.3916794540124922
original,ValSel,de,-12.42080241187384,1.2841605404815992
original,ValSel,es,-11.74371521335807,1.283391744945721
original,ValSel,zh,-9.611108292748918,1.0230104879655333
original,ValSel,ja,-9.754851528679653,1.2887055303981816
original,ValSel,ko,-9.581807471523765,1.379049566268072
distractor ablation,ValSel,en,-9.887801484230055,0.9122559652827008
distractor ablation,ValSel,fr,-12.617227118119974,1.9691554398553122
distractor ablation,ValSel,de,-13.410030148423004,1.296744999544804
distractor ablation,ValSel,es,-13.569836116264687,1.4126556680131748
distractor ablation,ValSel,zh,-10.150213068181818,1.382406522665762
distractor ablation,ValSel,ja,-10.648305600649351,1.6737162006920243
distractor ablation,ValSel,ko,-10.586246334471289,2.265552404306252
amplification,ValSel,en,-21.156725417439702,3.9087331073739295
amplification,ValSel,fr,-11.3460304576376,1.213334323761221
amplification,ValSel,de,-12.873430735930736,1.259864854630348
amplification,ValSel,es,-11.374455009276437,0.9624853263956915
amplification,ValSel,zh,-9.549301609848484,0.83451561338552
amplification,ValSel,ja,-9.511955492424244,0.8562052543075671
amplification,ValSel,ko,-7.642180216813288,1.1603712861088726
feature-intervention,ValSel,en,-11.887720315398886,1.4255538477774374
feature-intervention,ValSel,fr,-13.030689548546691,1.5111063946301382
feature-intervention,ValSel,de,-13.500664811379096,2.0632646520295492
feature-intervention,ValSel,es,-13.316419294990723,1.6224436153194446
feature-intervention,ValSel,zh,-9.989879261363637,1.2680138179752016
feature-intervention,ValSel,ja,-9.458532873376624,0.894284308411333
feature-intervention,ValSel,ko,-13.10348309001335,2.9788225786883684
