Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.914134972170686,1.4908749653289608
original,ValSel,fr,-14.344573283858997,1.962539174329494
original,ValSel,de,-14.014900278293137,1.6310418262998496
original,ValSel,es,-13.746424706246135,1.6343477799128836
original,ValSel,zh,-13.188392011634198,3.075926933651707
original,ValSel,ja,-13.165759435876623,1.6115911744593976
original,ValSel,ko,-10.183240603064956,1.4077620938302695
distractor ablation,ValSel,en,-11.819097866419295,1.5270832354157402
distractor ablation,ValSel,fr,-15.816048237476808,1.8750596756080193
distractor ablation,ValSel,de,-14.558766233766233,1.6557225104214965
distractor ablation,ValSel,es,-15.389880952380953,1.4701758389235273
distractor ablation,ValSel,zh,-13.386427049512987,2.9891304113627557
distractor ablation,ValSel,ja,-13.428875811688313,1.3285785582957914
distractor ablation,ValSel,ko,-10.790149609648548,2.2803557323511248
amplification,ValSel,en,-22.77891929499072,3.4979301700642225
amplification,ValSel,fr,-13.788589981447123,2.0362517580743895
amplification,ValSel,de,-13.777543290043289,1.338584409063882
amplification,ValSel,es,-12.759059987631417,1.2935997128938268
amplification,ValSel,zh,-10.964074337121213,1.9200435648066276
amplification,ValSel,ja,-10.950319602272728,0.7861742406716774
amplification,ValSel,ko,-7.950118574040944,0.8511333669448247
