Experiment,Method,Run,mean,stdev
original,ValSel,en,-9.8786951144094,1.0284380695052937
original,ValSel,fr,-13.662959956709956,2.478238124531382
original,ValSel,de,-13.859485157699442,2.3323669111501224
original,ValSel,es,-12.676314162028447,1.7623712669784926
original,ValSel,zh,-10.972132034632034,2.1203525302714867
original,ValSel,ja,-11.273910984848484,1.6912175737077793
original,ValSel,ko,-10.866086448006937,2.156825219756223
distractor ablation,ValSel,en,-11.014896896258504,1.235944049360759
distractor ablation,ValSel,fr,-15.586533704390847,2.2447634263331584
distractor ablation,ValSel,de,-14.162360853432281,2.239118975205096
distractor ablation,ValSel,es,-14.22773654916512,1.956892977793379
distractor ablation,ValSel,zh,-11.865312584550866,2.386597899306783
distractor ablation,ValSel,ja,-11.885247564935066,1.7830413335302855
distractor ablation,ValSel,ko,-12.013006651635264,2.2806494052983837
amplification,ValSel,en,-11.218181818181819,0.9757986065723091
amplification,ValSel,fr,-13.29104437229437,2.4902749242898095
amplification,ValSel,de,-13.781907081014223,2.6649232421959903
amplification,ValSel,es,-12.08249072356215,1.6207684474657502
amplification,ValSel,zh,-10.947071158008658,2.0743364991266042
amplification,ValSel,ja,-11.350417681277056,1.6915960793392792
amplification,ValSel,ko,-9.92654521525407,1.807797783929733
