Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.600498608534323,1.1929270782124552
original,ValSel,fr,-12.685799319727892,1.5673468449699004
original,ValSel,de,-13.038122294372295,1.6449943764739101
original,ValSel,es,-9.861577187693259,1.069657909431191
original,ValSel,zh,-10.328395562770563,1.7821187164971226
original,ValSel,ja,-10.711783008658008,1.300078503182516
original,ValSel,ko,-10.531645600134585,1.8406679213568484
distractor ablation,ValSel,en,-10.843912337662337,1.0685170411456821
distractor ablation,ValSel,fr,-14.137198515769944,1.4018281506757402
distractor ablation,ValSel,de,-13.23102195423624,1.3981862046328373
distractor ablation,ValSel,es,-10.673523500309216,1.2636826387569478
distractor ablation,ValSel,zh,-11.181439816693723,2.0771908306071203
distractor ablation,ValSel,ja,-11.322162050189393,1.3260334537307652
distractor ablation,ValSel,ko,-11.777449715237656,2.1084872351630293
amplification,ValSel,en,-11.53810296846011,1.1740073609150834
amplification,ValSel,fr,-11.71836348175634,1.2495031604790747
amplification,ValSel,de,-12.604970624613482,1.7245699585505523
amplification,ValSel,es,-9.576630140692641,0.9531423475684716
amplification,ValSel,zh,-10.074920522186147,1.6991945534864021
amplification,ValSel,ja,-10.448401988636363,1.0442896685476415
amplification,ValSel,ko,-9.394311933757878,1.4559211767918463
feature-intervention,ValSel,en,-11.426673623995054,1.303224049662703
feature-intervention,ValSel,fr,-14.559461966604825,1.136597291578428
feature-intervention,ValSel,de,-14.35759508348794,1.166252850042277
feature-intervention,ValSel,es,-10.00297812306741,1.2622480209913367
feature-intervention,ValSel,zh,-10.879578429383116,1.6571470334423217
feature-intervention,ValSel,ja,-11.420189901244587,1.1243225509820147
feature-intervention,ValSel,ko,-11.756217447916667,2.2889809020795147
