Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.660428262213978,1.1849526252789528
original,ValSel,fr,-10.908457019171305,1.2365912138420194
original,ValSel,de,-13.168205009276438,1.711851874332639
original,ValSel,es,-11.558225108225107,0.9573486393242489
original,ValSel,zh,-10.584660781926406,2.0609596966291965
original,ValSel,ja,-10.811652800324676,1.5404672565583784
original,ValSel,ko,-10.201148691898634,1.504472317968833
distractor ablation,ValSel,en,-11.076001082251082,1.017226953891651
distractor ablation,ValSel,fr,-12.720110544217688,1.3533550447708964
distractor ablation,ValSel,de,-13.58120361781076,1.5111406982456694
distractor ablation,ValSel,es,-12.640491651205936,1.194288103264865
distractor ablation,ValSel,zh,-11.351864769345239,2.272708043422608
distractor ablation,ValSel,ja,-11.401072950487015,1.5953475597653375
distractor ablation,ValSel,ko,-11.309599438835592,1.877384204799262
amplification,ValSel,en,-11.616670531849104,1.1023288242783893
amplification,ValSel,fr,-11.168436920222634,1.2617049269923974
amplification,ValSel,de,-12.878211966604823,1.7838305735961946
amplification,ValSel,es,-10.657753555967842,0.8091527212777203
amplification,ValSel,zh,-10.33491443452381,1.8632993361934223
amplification,ValSel,ja,-10.640630073051948,1.3800640544286475
amplification,ValSel,ko,-9.173264943184305,1.2256723737040607
feature-intervention,ValSel,en,-11.045214904143476,1.172713017952324
feature-intervention,ValSel,fr,-10.765495516388373,1.3417861458734182
feature-intervention,ValSel,de,-13.800247371675942,1.5447826420903907
feature-intervention,ValSel,es,-12.998206555349412,0.9814130068293001
feature-intervention,ValSel,zh,-11.099947578463203,2.0731669102393324
feature-intervention,ValSel,ja,-11.066039299242423,1.3776317536398697
feature-intervention,ValSel,ko,-11.041045886127888,1.889047589601782
