Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.970176252319108,1.0958486518579265
original,ValSel,fr,-13.097928262213978,1.7044907546693724
original,ValSel,de,-11.19538110698825,0.6370035419752399
original,ValSel,es,-12.497963048855906,1.2870076085764446
original,ValSel,zh,-11.16400331439394,2.1866397331579335
original,ValSel,ja,-11.30720542478355,1.5825252730327015
original,ValSel,ko,-10.504827120057007,1.6866420614375086
distractor ablation,ValSel,en,-9.951863017934446,1.7674540537128343
distractor ablation,ValSel,fr,-15.506083797155226,1.5880855508764826
distractor ablation,ValSel,de,-12.499389301175015,0.9153530752918655
distractor ablation,ValSel,es,-14.944333642547928,1.5450706462257544
distractor ablation,ValSel,zh,-12.847601291937229,2.4600099369715815
distractor ablation,ValSel,ja,-12.418641774891777,1.771433897446907
distractor ablation,ValSel,ko,-11.27369589498397,2.1993865721632924
amplification,ValSel,en,-23.211270871985157,2.426421505560037
amplification,ValSel,fr,-12.176476499690784,1.6965359706505516
amplification,ValSel,de,-11.740323515769944,0.9541428898567332
amplification,ValSel,es,-11.470068027210884,0.977554168372732
amplification,ValSel,zh,-9.990335836038962,1.6394572752910512
amplification,ValSel,ja,-9.930637851731602,0.9860258507013595
amplification,ValSel,ko,-8.17128405317205,1.0365076413049537
feature-intervention,ValSel,en,-10.211518243661102,1.061036131946234
feature-intervention,ValSel,fr,-13.491635745207175,1.9325458797969783
feature-intervention,ValSel,de,-9.738980364873223,0.8750586248101386
feature-intervention,ValSel,es,-13.059434910327768,1.2343204778266847
feature-intervention,ValSel,zh,-11.521336410984848,2.1129879717759703
feature-intervention,ValSel,ja,-11.586291768127706,1.472201637691485
feature-intervention,ValSel,ko,-10.984433573233982,2.089745983114621
