Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.62650742115028,1.1123159832464922
original,ValSel,fr,-12.104356060606062,0.8939331142242194
original,ValSel,de,-12.889560142238713,1.5534827661137895
original,ValSel,es,-10.023130701144094,1.4746073542933953
original,ValSel,zh,-9.817040381493507,1.255471096244076
original,ValSel,ja,-9.802866274350649,0.9388989156333327
original,ValSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,ValSel,en,-10.715425943104515,1.0971124063038438
distractor ablation,ValSel,fr,-13.606601731601732,0.6777037352326323
distractor ablation,ValSel,de,-13.115108998144711,1.291420939904087
distractor ablation,ValSel,es,-11.095365646258504,1.7285111475112853
distractor ablation,ValSel,zh,-10.496753246753247,1.3151859245334738
distractor ablation,ValSel,ja,-10.277087560876623,1.0812678518116747
distractor ablation,ValSel,ko,-10.951650577833671,1.7989890788908807
amplification,ValSel,en,-12.56077612863327,1.1684827918465333
amplification,ValSel,fr,-12.26485003092146,0.9653467866513475
amplification,ValSel,de,-12.223569882498454,1.4033916889977496
amplification,ValSel,es,-9.881170280612244,1.4811359529746984
amplification,ValSel,zh,-9.36724668560606,1.075532786878975
amplification,ValSel,ja,-9.574590773809524,1.010551092874852
amplification,ValSel,ko,-8.693864214386926,1.2607093214570244
feature-intervention,ValSel,en,-10.791160327767471,1.233098408207585
feature-intervention,ValSel,fr,-13.478942486085343,0.8482642688384021
feature-intervention,ValSel,de,-13.931617192331478,1.6780834912607614
feature-intervention,ValSel,es,-9.589019016697588,1.3204852518642498
feature-intervention,ValSel,zh,-10.994445008116884,1.0350940104251176
feature-intervention,ValSel,ja,-11.021489448051948,0.8095603407945774
feature-intervention,ValSel,ko,-11.307350308287377,2.031014551215206
