Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.05536100803958,1.0495319709254707
original,ValSel,fr,-10.929804421768708,1.4951348415254102
original,ValSel,de,-13.029518398268397,1.4874737651012282
original,ValSel,es,-12.300305349412493,1.2972354031817566
original,ValSel,zh,-10.215909090909092,1.628359833761473
original,ValSel,ja,-9.985558712121213,1.1457809373846592
original,ValSel,ko,-10.18139237689705,1.337205245988012
distractor ablation,ValSel,en,-11.245114409400122,0.951524860564009
distractor ablation,ValSel,fr,-12.453126932591218,1.4470620573673278
distractor ablation,ValSel,de,-13.304827612863326,1.422672833933652
distractor ablation,ValSel,es,-13.654205318491034,1.1759861852643052
distractor ablation,ValSel,zh,-10.864845441017318,1.6156733733361819
distractor ablation,ValSel,ja,-10.527196631493506,1.2704214809022443
distractor ablation,ValSel,ko,-11.000012647270822,1.5549659701065819
amplification,ValSel,en,-13.04900664811379,0.7139166414703835
amplification,ValSel,fr,-11.975255102040816,1.536370017241284
amplification,ValSel,de,-12.331520562770562,1.5504567393522757
amplification,ValSel,es,-11.503552102659246,1.0429548826477304
amplification,ValSel,zh,-9.79684117965368,1.3295817806100503
amplification,ValSel,ja,-9.736635890151515,1.0517779131381302
amplification,ValSel,ko,-8.799206158293396,1.110914727001859
feature-intervention,ValSel,en,-12.237186920222635,0.8254345227698829
feature-intervention,ValSel,fr,-11.70051406926407,1.3405200132213204
feature-intervention,ValSel,de,-14.816055967841681,1.4183547613759235
feature-intervention,ValSel,es,-14.827419604205318,1.2542416094761635
feature-intervention,ValSel,zh,-12.180587966720779,1.6919692269056748
feature-intervention,ValSel,ja,-11.676386634199135,0.9732329081954719
feature-intervention,ValSel,ko,-11.958458438306963,1.9111291090530549
