Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.281837507730364,1.3333134185929056
original,ValSel,fr,-13.605824829931972,1.6003880669362258
original,ValSel,de,-13.457386363636363,1.4306466208299746
original,ValSel,es,-13.18021413110699,1.0722409379919469
original,ValSel,zh,-11.958261465097403,2.4660216407532745
original,ValSel,ja,-12.350915685876624,1.5270342178170146
original,ValSel,ko,-9.814664951826677,1.6071525673152032
distractor ablation,ValSel,en,-11.063079777365491,1.402840284188921
distractor ablation,ValSel,fr,-15.248136982065555,1.8142788966358339
distractor ablation,ValSel,de,-14.083661873840445,1.4548633617957305
distractor ablation,ValSel,es,-15.178007111935683,0.8031419047623072
distractor ablation,ValSel,zh,-12.450774485930737,2.3361279239189097
distractor ablation,ValSel,ja,-12.669783211580086,1.243401534546264
distractor ablation,ValSel,ko,-10.776281898562647,2.381608092208557
amplification,ValSel,en,-11.329236239950527,1.1132554682357207
amplification,ValSel,fr,-13.900865800865802,1.7252453367638614
amplification,ValSel,de,-12.891198979591836,1.350005236505379
amplification,ValSel,es,-12.60459570191713,0.9083397206710689
amplification,ValSel,zh,-10.149942505411255,1.558624297262133
amplification,ValSel,ja,-9.9768685741342,0.7571454213587702
amplification,ValSel,ko,-8.80095243053276,1.6346922479171473
feature-intervention,ValSel,en,-11.339880952380952,1.29290511225648
feature-intervention,ValSel,fr,-14.012677798392085,1.664240996027543
feature-intervention,ValSel,de,-13.739946660482374,1.3396973265787075
feature-intervention,ValSel,es,-13.553869047619047,1.065423828743518
feature-intervention,ValSel,zh,-12.806268601190476,2.3102161897117277
feature-intervention,ValSel,ja,-13.467158752705627,1.387174131949168
feature-intervention,ValSel,ko,-8.640634488658744,1.677265074391558
