Experiment,Method,Run,mean,stdev
original,ValSel,en,-12.118320964749538,1.2369210741617889
original,ValSel,fr,-11.69817563388992,1.3164309090778477
original,ValSel,de,-12.374114873222016,1.0862356269660982
original,ValSel,es,-13.38518475572047,1.7579789535566464
original,ValSel,zh,-11.62773944805195,2.2282280053134738
original,ValSel,ja,-11.660017586580086,1.7668550679102806
original,ValSel,ko,-10.908339086366968,1.8413890425685828
distractor ablation,ValSel,en,-12.411487322201609,1.1149519799980463
distractor ablation,ValSel,fr,-13.730252782931355,1.5280769221641317
distractor ablation,ValSel,de,-13.013087507730365,1.0971529176660797
distractor ablation,ValSel,es,-15.083603896103895,1.484084684799044
distractor ablation,ValSel,zh,-12.523678469967534,2.324884140930605
distractor ablation,ValSel,ja,-12.408816964285714,1.6564018971511607
distractor ablation,ValSel,ko,-11.730629997360271,2.0854431089877927
amplification,ValSel,en,-13.940309987631418,1.0383697077530591
amplification,ValSel,fr,-12.42733843537415,1.135986023339151
amplification,ValSel,de,-12.77343846629561,0.6304442629563161
amplification,ValSel,es,-12.096467223252938,0.8978433700352004
amplification,ValSel,zh,-11.138485863095239,1.7312232389165279
amplification,ValSel,ja,-10.943621482683982,1.4503300811030082
amplification,ValSel,ko,-9.466773529480152,1.419971015895267
feature-intervention,ValSel,en,-12.787878787878787,1.3018718836574354
feature-intervention,ValSel,fr,-13.857637600494742,1.2375442756510673
feature-intervention,ValSel,de,-11.930260513296227,0.9118689501211577
feature-intervention,ValSel,es,-14.740004638218924,1.392962018496925
feature-intervention,ValSel,zh,-12.772892146915584,2.1131566903942107
feature-intervention,ValSel,ja,-12.646187601461039,1.6673771732860632
feature-intervention,ValSel,ko,-11.795514347706856,2.0514054282503253
