Experiment,Method,Run,mean,stdev
original,ValSel,en,-10.097777520098948,0.8393407564832602
original,ValSel,fr,-10.578865182436612,1.2317212343098631
original,ValSel,de,-12.416338126159555,1.2566732810041192
original,ValSel,es,-11.540483920841064,1.3399154445392898
original,ValSel,zh,-9.409640489718614,0.9222440044833139
original,ValSel,ja,-9.759334415584416,0.8712358586017552
original,ValSel,ko,-9.646614019142813,1.267459646867677
distractor ablation,ValSel,en,-9.98296227581942,0.873870501309799
distractor ablation,ValSel,fr,-12.52571892393321,1.610150711233826
distractor ablation,ValSel,de,-13.135068800247371,1.0282694575188511
distractor ablation,ValSel,es,-13.248794063079776,1.5873302548226684
distractor ablation,ValSel,zh,-9.797682460768398,1.2012318113509433
distractor ablation,ValSel,ja,-10.354608022186147,1.3398751224260514
distractor ablation,ValSel,ko,-10.676517433145133,1.872641138144235
amplification,ValSel,en,-10.681381416202845,0.7119913058872029
amplification,ValSel,fr,-11.599002782931354,1.174113968520576
amplification,ValSel,de,-12.92870670995671,1.4203020450845631
amplification,ValSel,es,-10.71294449598021,1.440834097818582
amplification,ValSel,zh,-9.292190882034632,0.8675075889435611
amplification,ValSel,ja,-9.173263325216451,0.9448280977765581
amplification,ValSel,ko,-8.411709415211396,1.2626433769873868
feature-intervention,ValSel,en,-10.996919449598021,1.1054629520739212
feature-intervention,ValSel,fr,-12.822348484848485,1.1838339533262496
feature-intervention,ValSel,de,-13.523133116883116,1.1074690641263802
feature-intervention,ValSel,es,-12.522371675943104,1.2118294329751629
feature-intervention,ValSel,zh,-8.966678503787879,0.6379470913832993
feature-intervention,ValSel,ja,-9.499049648268398,1.22572263670241
feature-intervention,ValSel,ko,-11.379860663747921,2.095762691174961
