model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,ja,en,de,de,schlecht,good,「good」の反対は「,bad,0,0,868,868,11.8125,11.8125,0.0,-12.3125,-12.3125,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,en,bad,good,「good」の反対は「,bad,0,0,0,0,24.125,24.125,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,es,malo,good,「good」の反対は「,bad,0,0,261,261,13.6875,13.6875,0.0,-10.4375,-10.4375,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,fr,mauvais,good,「good」の反対は「,bad,0,0,296,296,13.5625,13.5625,0.0,-10.5625,-10.5625,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,ja,悪い,good,「good」の反対は「,bad,0,0,4,4,20.25,20.25,0.0,-3.875,-3.875,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,ko,나쁜,good,「good」の反対は「,bad,0,0,3149,3149,9.8125,9.8125,0.0,-14.3125,-14.3125,0.0,2.0
gemma-2-2b,0,desc,desc,ja,en,de,zh,坏,good,「good」の反対は「,bad,0,0,12,12,17.875,17.875,0.0,-6.25,-6.25,0.0,2.0
gemma-2-2b,0,desc,val,ja,en,de,de,schlecht,good,「good」の反対は「,bad,0,0,868,1505,11.8125,7.03125,-4.78125,-12.3125,-14.46875,-2.15625,2.0
gemma-2-2b,0,desc,val,ja,en,de,en,bad,good,「good」の反対は「,bad,0,0,0,0,24.125,21.5,-2.625,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,ja,en,de,es,malo,good,「good」の反対は「,bad,0,0,261,220,13.6875,9.875,-3.8125,-10.4375,-11.625,-1.1875,2.0
gemma-2-2b,0,desc,val,ja,en,de,fr,mauvais,good,「good」の反対は「,bad,0,0,296,174,13.5625,10.125,-3.4375,-10.5625,-11.375,-0.8125,2.0
gemma-2-2b,0,desc,val,ja,en,de,ja,悪い,good,「good」の反対は「,bad,0,0,4,2,20.25,17.0,-3.25,-3.875,-4.5,-0.625,2.0
gemma-2-2b,0,desc,val,ja,en,de,ko,나쁜,good,「good」の反対は「,bad,0,0,3149,2622,9.8125,6.21875,-3.59375,-14.3125,-15.28125,-0.96875,2.0
gemma-2-2b,0,desc,val,ja,en,de,zh,坏,good,「good」の反対は「,bad,0,0,12,9,17.875,13.875,-4.0,-6.25,-7.625,-1.375,2.0
gemma-2-2b,0,desc,freq,ja,en,de,de,schlecht,good,「good」の反対は「,bad,0,0,868,636,11.8125,11.375,-0.4375,-12.3125,-9.875,2.4375,2.0
gemma-2-2b,0,desc,freq,ja,en,de,en,bad,good,「good」の反対は「,bad,0,0,0,0,24.125,21.25,-2.875,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,freq,ja,en,de,es,malo,good,「good」の反対は「,bad,0,0,261,539,13.6875,11.625,-2.0625,-10.4375,-9.625,0.8125,2.0
gemma-2-2b,0,desc,freq,ja,en,de,fr,mauvais,good,「good」の反対は「,bad,0,0,296,16,13.5625,15.5625,2.0,-10.5625,-5.6875,4.875,2.0
gemma-2-2b,0,desc,freq,ja,en,de,ja,悪い,good,「good」の反対は「,bad,0,0,4,187,20.25,12.875,-7.375,-3.875,-8.375,-4.5,2.0
gemma-2-2b,0,desc,freq,ja,en,de,ko,나쁜,good,「good」の反対は「,bad,0,0,3149,240,9.8125,12.625,2.8125,-14.3125,-8.625,5.6875,2.0
gemma-2-2b,0,desc,freq,ja,en,de,zh,坏,good,「good」の反対は「,bad,0,0,12,338,17.875,12.125,-5.75,-6.25,-9.125,-2.875,2.0
gemma-2-2b,0,val,desc,ja,en,de,de,schlecht,good,「good」の反対は「,bad,0,0,868,2,11.8125,19.75,7.9375,-12.3125,-0.5,11.8125,2.0
gemma-2-2b,0,val,desc,ja,en,de,en,bad,good,「good」の反対は「,bad,0,0,0,0,24.125,20.25,-3.875,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,desc,ja,en,de,es,malo,good,「good」の反対は「,bad,0,0,261,23371,13.6875,7.09375,-6.59375,-10.4375,-13.15625,-2.71875,2.0
gemma-2-2b,0,val,desc,ja,en,de,fr,mauvais,good,「good」の反対は「,bad,0,0,296,748,13.5625,12.9375,-0.625,-10.5625,-7.3125,3.25,2.0
gemma-2-2b,0,val,desc,ja,en,de,ja,悪い,good,「good」の反対は「,bad,0,0,4,72,20.25,15.9375,-4.3125,-3.875,-4.3125,-0.4375,2.0
gemma-2-2b,0,val,desc,ja,en,de,ko,나쁜,good,「good」の反対は「,bad,0,0,3149,1352,9.8125,12.125,2.3125,-14.3125,-8.125,6.1875,2.0
gemma-2-2b,0,val,desc,ja,en,de,zh,坏,good,「good」の反対は「,bad,0,0,12,21,17.875,16.875,-1.0,-6.25,-3.375,2.875,2.0
gemma-2-2b,0,val,val,ja,en,de,de,schlecht,good,「good」の反対は「,bad,0,0,868,1021,11.8125,12.5,0.6875,-12.3125,-12.5,-0.1875,2.0
gemma-2-2b,0,val,val,ja,en,de,en,bad,good,「good」の反対は「,bad,0,0,0,0,24.125,25.0,0.875,0.0,0.0,0.0,2.0
