model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
qwen3-4b,0,desc,desc,zh,ja,de,de,schlecht,良い,"""良い""的反义词是""",悪い,0,0,11772,11772,2.703125,2.703125,0.0,-21.546875,-21.546875,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,en,bad,良い,"""良い""的反义词是""",悪い,0,0,44,44,11.875,11.875,0.0,-12.375,-12.375,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,es,malo,良い,"""良い""的反义词是""",悪い,0,0,2003,2003,5.65625,5.65625,0.0,-18.59375,-18.59375,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,fr,mauvais,良い,"""良い""的反义词是""",悪い,0,0,15597,15597,2.1875,2.1875,0.0,-22.0625,-22.0625,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,ja,悪い,良い,"""良い""的反义词是""",悪い,0,0,0,0,24.25,24.25,0.0,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,ko,나쁜,良い,"""良い""的反义词是""",悪い,0,0,5535,5535,3.984375,3.984375,0.0,-20.265625,-20.265625,0.0,2.0
qwen3-4b,0,desc,desc,zh,ja,de,zh,坏,良い,"""良い""的反义词是""",悪い,0,0,136,136,10.25,10.25,0.0,-14.0,-14.0,0.0,2.0
qwen3-4b,0,desc,val,zh,ja,de,de,schlecht,良い,"""良い""的反义词是""",悪い,0,0,11772,6473,2.703125,7.3125,4.609375,-21.546875,-7.5,14.046875,2.0
qwen3-4b,0,desc,val,zh,ja,de,en,bad,良い,"""良い""的反义词是""",悪い,0,0,44,6,11.875,13.125,1.25,-12.375,-1.6875,10.6875,2.0
qwen3-4b,0,desc,val,zh,ja,de,es,malo,良い,"""良い""的反义词是""",悪い,0,0,2003,188,5.65625,10.375,4.71875,-18.59375,-4.4375,14.15625,2.0
qwen3-4b,0,desc,val,zh,ja,de,fr,mauvais,良い,"""良い""的反义词是""",悪い,0,0,15597,2784,2.1875,8.1875,6.0,-22.0625,-6.625,15.4375,2.0
qwen3-4b,0,desc,val,zh,ja,de,ja,悪い,良い,"""良い""的反义词是""",悪い,0,0,0,0,24.25,14.8125,-9.4375,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,val,zh,ja,de,ko,나쁜,良い,"""良い""的反义词是""",悪い,0,0,5535,61717,3.984375,4.15625,0.171875,-20.265625,-10.65625,9.609375,2.0
qwen3-4b,0,desc,val,zh,ja,de,zh,坏,良い,"""良い""的反义词是""",悪い,0,0,136,497,10.25,9.75,-0.5,-14.0,-5.0625,8.9375,2.0
qwen3-4b,0,desc,freq,zh,ja,de,de,schlecht,良い,"""良い""的反义词是""",悪い,0,0,11772,5,2.703125,12.1875,9.484375,-21.546875,-4.8125,16.734375,2.0
qwen3-4b,0,desc,freq,zh,ja,de,en,bad,良い,"""良い""的反义词是""",悪い,0,0,44,72,11.875,9.1875,-2.6875,-12.375,-7.8125,4.5625,2.0
qwen3-4b,0,desc,freq,zh,ja,de,es,malo,良い,"""良い""的反义词是""",悪い,0,0,2003,559,5.65625,6.9375,1.28125,-18.59375,-10.0625,8.53125,2.0
qwen3-4b,0,desc,freq,zh,ja,de,fr,mauvais,良い,"""良い""的反义词是""",悪い,0,0,15597,1645,2.1875,5.5,3.3125,-22.0625,-11.5,10.5625,2.0
qwen3-4b,0,desc,freq,zh,ja,de,ja,悪い,良い,"""良い""的反义词是""",悪い,0,0,0,0,24.25,17.0,-7.25,0.0,0.0,0.0,2.0
qwen3-4b,0,desc,freq,zh,ja,de,ko,나쁜,良い,"""良い""的反义词是""",悪い,0,0,5535,16755,3.984375,1.890625,-2.09375,-20.265625,-15.109375,5.15625,2.0
qwen3-4b,0,desc,freq,zh,ja,de,zh,坏,良い,"""良い""的反义词是""",悪い,0,0,136,2256,10.25,5.09375,-5.15625,-14.0,-11.90625,2.09375,2.0
