model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ja,ja,en,en,en,desc,desc,-5.4375,-3.75,-5.4375,1.6875,0.0,13,7,13
gemma-2-2b,0,ja,ja,en,en,fr,desc,desc,-12.4375,-12.0,-12.375,0.4375,0.0625,1220,1164,1210
gemma-2-2b,0,ja,ja,en,en,de,desc,desc,-18.0,-16.75,-18.0,1.25,0.0,17295,11793,17264
gemma-2-2b,0,ja,ja,en,en,es,desc,desc,-13.375,-12.75,-13.375,0.625,0.0,2046,1765,2062
gemma-2-2b,0,ja,ja,en,en,zh,desc,desc,-7.125,-7.4375,-7.125,-0.3125,0.0,41,71,41
gemma-2-2b,0,ja,ja,en,en,ja,desc,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,desc,desc,-14.375,-14.3125,-14.25,0.0625,0.125,3311,3902,3231
gemma-2-2b,0,ja,ja,en,en,en,desc,val,-5.4375,-3.75,-4.1875,1.6875,1.25,13,7,7
gemma-2-2b,0,ja,ja,en,en,fr,desc,val,-12.4375,-12.0,-12.75,0.4375,-0.3125,1220,1164,1902
gemma-2-2b,0,ja,ja,en,en,de,desc,val,-18.0,-16.75,-16.5,1.25,1.5,17295,11793,11338
gemma-2-2b,0,ja,ja,en,en,es,desc,val,-13.375,-12.75,-13.3125,0.625,0.0625,2046,1765,2536
gemma-2-2b,0,ja,ja,en,en,zh,desc,val,-7.125,-7.4375,-7.0625,-0.3125,0.0625,41,71,56
gemma-2-2b,0,ja,ja,en,en,ja,desc,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,desc,val,-14.375,-14.3125,-13.75,0.0625,0.625,3311,3902,3161
gemma-2-2b,0,ja,ja,en,en,en,desc,freq,-5.4375,-3.75,-4.3125,1.6875,1.125,13,7,7
gemma-2-2b,0,ja,ja,en,en,fr,desc,freq,-12.4375,-12.0,-12.875,0.4375,-0.4375,1220,1164,1854
gemma-2-2b,0,ja,ja,en,en,de,desc,freq,-18.0,-16.75,-16.625,1.25,1.375,17295,11793,11290
gemma-2-2b,0,ja,ja,en,en,es,desc,freq,-13.375,-12.75,-13.375,0.625,0.0,2046,1765,2479
gemma-2-2b,0,ja,ja,en,en,zh,desc,freq,-7.125,-7.4375,-7.1875,-0.3125,-0.0625,41,71,56
gemma-2-2b,0,ja,ja,en,en,ja,desc,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,desc,freq,-14.375,-14.3125,-13.875,0.0625,0.5,3311,3902,3173
gemma-2-2b,0,ja,ja,en,en,en,val,desc,-5.4375,-6.875,-7.0625,-1.4375,-1.625,13,15,16
gemma-2-2b,0,ja,ja,en,en,fr,val,desc,-12.4375,-14.625,-15.0,-2.1875,-2.5625,1220,1973,2119
gemma-2-2b,0,ja,ja,en,en,de,val,desc,-18.0,-19.625,-20.0,-1.625,-2.0,17295,16935,17524
gemma-2-2b,0,ja,ja,en,en,es,val,desc,-13.375,-16.5,-16.875,-3.125,-3.5,2046,4712,4886
gemma-2-2b,0,ja,ja,en,en,zh,val,desc,-7.125,-9.1875,-9.375,-2.0625,-2.25,41,108,107
gemma-2-2b,0,ja,ja,en,en,ja,val,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,val,desc,-14.375,-17.0,-16.875,-2.625,-2.5,3311,5808,4987
